search_term,keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions
500 down cars,sell car online,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
a better bid,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,4,1,1.03,0.0
adelfi credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
adesa cerca de mi,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,1,0.98,0.0
alliant credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,18,3,3.07,0.0
allpoint atm locator near me,free banking,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
allsouth credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
alta vista credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,0,0.0,0.0
altera bank,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,0,0.0,0.0
altera bank,best banks for checking,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,2,0.02,0.0
altera bank,best cd rates near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altra bank,bank rate,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.724925,0.5
altra bank,banks to open online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.83,0.0
altra credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,60,19,0.954445,0.0
altra federal credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.114146,0.0
