campaign_id,campaign_name,apps,approved,funded,production,value,cpf,avg_funded_value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
22359768469,Leads - Auto Loan,4,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22600644893,General Membership Campaign,14,1,1,800.0,208.0,0,208.0,0,0,1,0,0
22600681592,Recreational Loan Campaign,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22604458072,Personal Loan Campaign,19,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22672853490,Recreational loan - Display - Leads,2,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22682563885,General Membership - Display - Leads - Ads,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22749923275,Pmax - Home Equity Loan,9,1,0,0.0,0.0,0,0.0,0,0,0,1,0
22795984517,Display - Personal Loan,18,0,0,0.0,0.0,0,0.0,0,0,0,0,0
23575605815,Auto Loans Search Campaign (02-2026),1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
23580282388,Personal Loans Search Campaign (02-2026),7,0,0,0.0,0.0,0,0.0,0,0,0,0,0
