campaign_id,campaign_name,apps,approved,funded,production,value,cpf,avg_funded_value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
22359768469,Leads - Auto Loan,2,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22600644893,General Membership Campaign,27,3,2,30617.14,5006.399600000001,0,2503.2,0,0,2,1,0
22600681592,Recreational Loan Campaign,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22604458072,Personal Loan Campaign,33,2,2,66930.7,9514.298,0,4757.15,0,0,1,1,0
22672853490,Recreational loan - Display - Leads,8,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22682563885,General Membership - Display - Leads - Ads,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22749892459,Pmax - Checking Account,7,1,1,30588.6,4282.404,0,4282.4,0,0,0,1,0
22749923275,Pmax - Home Equity Loan,12,1,1,5000.0,1300.0,0,1300.0,0,0,1,0,0
22795984517,Display - Personal Loan,23,0,0,0.0,0.0,0,0.0,0,0,0,0,0
23236422937,CD - Search - 6/11/2025,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
