campaign_id,apps,approved,funded,production,value,cpf,avg_funded_value
12636826791,2.5,0.3,0.0,0.0,0.0,0,0.0
13183169127,2.5,0.3,0.0,0.0,0.0,0,0.0
13194164019,10.0,0.5,0.3,0.0,300.0,0,1000.0
13216154476,0.0,0.0,0.0,0.0,0.0,0,0.0
13216154789,4.0,0.3,0.0,0.0,0.0,0,0.0
13260134942,0.0,0.0,0.0,0.0,0.0,0,0.0
14271227318,2.5,0.0,0.0,0.0,0.0,0,0.0
15151349221,1.5,0.0,0.0,0.0,0.0,0,0.0
21528306460,1.5,0.0,0.0,0.0,0.0,0,0.0
22389622764,0.0,0.0,0.0,0.0,0.0,0,0.0
23143113093,1.5,0.0,0.0,0.0,0.0,0,0.0
23148377033,1.5,0.0,0.0,0.0,0.0,0,0.0
23152818937,0.0,0.0,0.0,0.0,0.0,0,0.0
23152822702,1.5,0.0,0.0,0.0,0.0,0,0.0
23152823251,2.5,0.3,0.0,0.0,0.0,0,0.0
23152823704,1.5,0.0,0.0,0.0,0.0,0,0.0
23228929821,786.5,29.0,16.5,96373.76,33631.88,0,2038.6
23229263037,14.5,0.3,0.0,0.0,0.0,0,0.0
23238626386,519.0,4.0,2.5,22079.16,4215.72,0,1686.29
23238626389,262.5,5.0,2.5,22656.25,7757.5,0,3103.0
23273153664,12.5,3.5,3.5,8793.75,5016.67,0,1433.33
23278177841,6.5,0.3,0.0,0.0,0.0,0,0.0
23278178042,0.0,0.0,0.0,0.0,0.0,0,0.0
23278396982,82.5,2.5,1.5,7500.0,2250.0,0,1500.0
23282449426,48.0,1.5,0.3,0.0,450.0,0,1500.0
23282664394,11.5,0.3,0.0,0.0,0.0,0,0.0
23355881198,11.5,0.3,0.0,0.0,0.0,0,0.0
23371442105,20.0,0.3,0.0,0.0,0.0,0,0.0
23379709610,250.0,3.5,1.2,12000.0,1800.0,0,1500.0
23390869145,0.0,0.0,0.0,0.0,0.0,0,0.0
69069679255,12.5,2.5,2.2,15968.9,3880.96,0,1762.83
69100109939,18.5,3.5,3.5,11303.22,6028.13,0,1722.32
69100207737,9.0,1.5,1.2,27600.0,1800.0,0,1500.0
69102901795,42.5,2.5,1.2,8400.0,2184.0,0,1820.0
69102901797,147.0,1.5,0.3,0.0,450.0,0,1500.0
69299123463,51.0,1.5,0.3,0.0,450.0,0,1500.0
69299123495,22.0,1.5,1.2,30.0,1800.0,0,1500.0
69371630335,62.5,1.5,0.3,0.0,450.0,0,1500.0
69371630337,49.0,0.3,0.0,0.0,0.0,0,0.0
