campaign_id,apps,approved,funded,production,value,cpf,avg_funded_value
12636826791,3.0,0.5,0.0,0.0,0.0,0,0.0
13183169127,3.0,1.5,1.5,18000.0,4680.0,0,3120.0
13194164019,12.0,2.0,2.0,33889.58,4744.5412,0,2372.2706
13216154789,5.0,0.5,0.0,0.0,0.0,0,0.0
13260134942,0.0,0.0,0.0,0.0,0.0,0,0.0
14271227318,5.0,0.5,0.0,0.0,0.0,0,0.0
15151349221,0.0,0.0,0.0,0.0,0.0,0,0.0
22389622764,0.0,0.0,0.0,0.0,0.0,0,0.0
23152814605,0.0,0.0,0.0,0.0,0.0,0,0.0
23152822237,0.0,0.0,0.0,0.0,0.0,0,0.0
23228929821,520.0,32.0,14.0,137064.0,55652.7,0,3975.19
23229263037,42.0,1.0,0.5,0.0,750.0,0,1500.0
23238626386,245.0,4.0,2.0,1000.0,3000.0,0,1500.0
23238626389,168.0,4.0,2.0,2500.0,1225.0,0,612.5
23273153664,2.0,0.0,0.0,0.0,0.0,0,0.0
23278396982,72.0,2.0,2.0,200.0,3000.0,0,1500.0
23282449426,0.0,0.0,0.0,0.0,0.0,0,0.0
23282664394,38.0,3.0,2.5,187.5,3750.0,0,1500.0
23355881198,24.0,2.0,0.5,0.0,750.0,0,1500.0
23371442105,295.0,5.0,3.0,38250.0,4500.0,0,1500.0
23379709610,280.0,5.0,3.0,72329.43,13377.75,0,4459.25
23390869145,32.0,1.0,0.0,0.0,0.0,0,0.0
23430737916,185.0,12.0,5.0,30333.33,5866.67,0,1173.33
23430738639,2.0,0.0,0.0,0.0,0.0,0,0.0
23430742242,5.0,0.0,0.0,0.0,0.0,0,0.0
23435834843,115.0,1.0,0.0,0.0,0.0,0,0.0
23438594629,22.0,0.5,0.0,0.0,0.0,0,0.0
23440318735,10.0,0.0,0.0,0.0,0.0,0,0.0
69100207737,14.0,0.5,0.0,0.0,0.0,0,0.0
69102901795,4.0,0.0,0.0,0.0,0.0,0,0.0
69102901797,4.0,0.0,0.0,0.0,0.0,0,0.0
69299123463,92.0,2.0,1.5,37.5,2250.0,0,1500.0
69299123495,52.0,3.0,2.5,7500.0,3750.0,0,1500.0
69371630335,98.0,6.0,5.0,55786.44,13635.10,0,2727.02
69371630337,78.0,5.0,5.0,50312.5,19318.75,0,3863.75
69432440875,82.0,5.0,5.0,52968.75,21234.38,0,4246.88
69432440887,88.0,11.0,5.0,34568.39,10516.45,0,2103.29
