campaign_name,ad_group_name,keyword,match_type,impressions,clicks,cost,conversions
KCU - Personal - Brand,General Banking,kitsap credit union,PHRASE,28125,10291,3736.837233,1181.102622
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap credit union,PHRASE,4990,1682,671.104839,179.193003
KCU - Personal - NB,Certificates,cd rates,BROAD,4026,594,2767.058159,11.263417
KCU - Personal - Brand,General Banking,kitsap cu,PHRASE,985,369,354.688394,51.507871
KCU - Personal - NB Locations,Location - Kitsap,kitsap bank,PHRASE,3901,318,3281.639133,24.837288
KCU - Personal - NB,Money Market Accounts,money market account,BROAD,2187,209,1158.227501,6.0
KCU - Personal - Brand,Banking Location,kitsap credit union silverdale,PHRASE,994,196,344.917799,55.833336
KCU - Personal - Brand,Banking Location,kitsap credit union port orchard,PHRASE,892,184,332.8471,43.165019
KCU - Personal - NB Locations,Location - Kitsap,kitsap banking,PHRASE,2550,171,2341.847132,23.188423
KCU - Personal - Brand,General Banking,kitsap federal credit union,PHRASE,400,150,136.296723,22.574392
KCU - Personal - NB,Certificates,cd rates,PHRASE,852,125,461.39941799999997,1.16904
KCU - Personal - Brand,Personal Banking,kitsap credit union banking,PHRASE,652,103,237.05505499999998,21.11508
KCU - Personal - NB,General Banking,credit union,PHRASE,2231,100,1653.297584,16.0
KCU - Personal - NB,General Banking,online banking,PHRASE,1053,97,841.1976549999999,5.0
KCU - Personal - NB,Savings Accounts,high yield savings account,PHRASE,1384,96,860.841964,3.5
KCU - Personal - Brand,Personal Banking,kitsap credit union rates,PHRASE,273,90,146.682046,12.049334
KCU - Personal - Brand,Banking Location,kitsap credit union bremerton,PHRASE,529,86,221.75739000000002,19.166666
KCU - Personal - Brand,Banking Location,kitsap credit union branches,PHRASE,525,80,288.887451,44.080223000000004
KCU - Business - NB,General Banking,business banking,PHRASE,1752,74,1963.784108,12.0
KCU - Personal - NB Locations,Location - Kitsap,credit union near me,PHRASE,1324,73,1238.369684,9.0
KCU - Personal - Brand,Banking Location,kitsap credit union port townsend,PHRASE,284,70,113.35015899999999,21.798534
KCU - Personal - NB Locations,Location - Kitsap,kitsap county credit union,PHRASE,320,68,339.66832999999997,2.0
KCU - Personal - NB,Certificates,best cd rates,PHRASE,393,64,297.132292,0.83096
KCU - Personal - Brand,Banking Location,kitsap credit union kingston,PHRASE,256,62,41.303563,5.83019
KCU - Personal - NB,Money Market Accounts,credit union money market,BROAD,974,62,636.860269,1.0
KCU - Personal - NB,Certificates,best cd rates,BROAD,746,60,528.056994,2.5
KCU - Personal - Brand,Banking Location,kitsap credit union poulsbo,PHRASE,434,60,159.26032,27.0
KCU - Personal - Brand,General Banking,kitsap community credit union,PHRASE,194,58,79.027243,8.0
KCU - Personal - NB Locations,Location - Bremerton,credit union bremerton,PHRASE,440,55,491.277934,6.0
KCU - Business - NB,General Banking,banking small business,PHRASE,1182,53,1185.189564,8.0
KCU - Personal - NB Locations,Location - Silverdale,credit union silverdale,PHRASE,512,52,634.667274,7.0
KCU - Personal - NB Locations,Location - Port Orchard,port orchard bank,PHRASE,664,51,614.035706,3.978244
KCU - Personal - NB,Money Market Accounts,money market rates,BROAD,755,50,382.124065,3.0
KCU - Personal - NB,Digital Accounts,online banking,PHRASE,623,50,679.378858,9.0
KCU - Personal - NB Locations,Location - Port Orchard,credit union port orchard,PHRASE,388,48,312.28283,4.0
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap cu,PHRASE,156,45,41.869718,5.980351
KCU - Personal - Brand,Banking Location,kitsap credit union near me,PHRASE,260,44,153.69941699999998,27.0
KCU - Personal - NB Locations,Location - Puyallup,credit union puyallup,PHRASE,682,43,621.741375,4.0
KCU - Personal - NB,Money Market Accounts,money market account rates,BROAD,505,42,461.196147,6.0
