campaign_id,campaign_name,apps,approved,funded,production,value,cpf,avg_funded_value
1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,59,19,11,64602.85,25909.329,0,2355.39
1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,58,26,16,161061.58000000002,37965.860400000005,0,2372.87
1578789542,Ark Marketing_CCCU_Auto Loans San Diego-ENG Q1 2026_Search_Google_Conversion,80,36,11,157627.2,32939.308000000005,0,2994.48
1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,572,208,112,1858137.73,357239.7022,0,3189.64
21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,3,1,0,0.0,0.0,0,0.0
22071062520,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Search_Google_Conversion,232,73,42,534415.44,109189.1616,0,2599.74
22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,50,14,7,133508.69,25844.2166,0,3692.03
22080143039,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Reach,7,0,0,0.0,0.0,0,0.0
22086561724,Ark Marketing_CCCU_Checking Out of Market-ENG Q1 2026_Search_Google_Conversion,85,19,8,35625.0,16940.5,0,2117.56
22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,90,36,15,450382.79,65470.5906,0,4364.71
