campaign_id,campaign_name,apps,approved,funded,production,value,cpf,avg_funded_value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
1578789530,Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,2,2,2,10050.0,6400.0,0,3200.0,1,1,0,0,0
1578789533,Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,3,0,0,0.0,0.0,0,0.0,0,0,0,0,0
1578789542,Ark Marketing_CCCU_Auto Loans San Diego-ENG Q1 2026_Search_Google_Conversion,7,3,1,23721.0,3320.9400000000005,0,3320.94,0,0,0,3,0
1578789545,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,65,23,8,88567.47,18979.0406,0,2372.38,0,3,4,16,0
21609985820,Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22071062520,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Search_Google_Conversion,27,12,7,135160.40000000002,29407.456000000002,0,4201.07,1,3,2,6,0
22076650992,Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,13,1,1,0.01,1500.0,0,1500.0,0,1,0,0,0
22080143039,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Reach,5,0,0,0.0,0.0,0,0.0,0,0,0,0,0
22082727542,Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Retargeting,2,1,1,100.0,1500.0,0,1500.0,0,1,0,0,0
22086561724,Ark Marketing_CCCU_Checking Out of Market-ENG Q1 2026_Search_Google_Conversion,18,4,2,10025.0,6400.0,0,3200.0,1,2,0,1,0
22571396349,Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,10,3,0,0.0,0.0,0,0.0,0,0,0,3,0
